dataset_key,dataset_label,delay_order,K,tau,theta,sse
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,17.5,116950.0060944621
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,18.333333333333336,116769.32192920617
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,19.166666666666668,116614.04253485799
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,20.0,116483.85494766748
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,20.833333333333336,116378.41581144513
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,21.666666666666668,116297.35284778196
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,22.5,116240.26637207824
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,23.333333333333336,116206.73084805964
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,24.166666666666668,116196.29647351542
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,25.0,116208.49079005813
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,25.833333333333336,116242.82030983386
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,26.666666666666668,116298.7721522969
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,27.5,116375.81568435094
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,28.333333333333336,116473.40415742616
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,29.166666666666668,116590.97633530697
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,30.0,116727.95810685193
sine,Sine Wave Test for Heater 1,2,0.5,140.0,10.0,121279.26501873988
sine,Sine Wave Test for Heater 1,2,0.5,140.0,10.833333333333334,120881.71346303304
sine,Sine Wave Test for Heater 1,2,0.5,140.0,11.666666666666666,120510.45088634183
sine,Sine Wave Test for Heater 1,2,0.5,140.0,12.5,120165.47881329877
sine,Sine Wave Test for Heater 1,2,0.5,140.0,13.333333333333334,119846.7591359156
sine,Sine Wave Test for Heater 1,2,0.5,140.0,14.166666666666668,119554.21489717514
sine,Sine Wave Test for Heater 1,2,0.5,140.0,15.0,119287.73116959662
sine,Sine Wave Test for Heater 1,2,0.5,140.0,15.833333333333334,119047.15602558418
sine,Sine Wave Test for Heater 1,2,0.5,140.0,16.666666666666668,118832.30159551342
sine,Sine Wave Test for Heater 1,2,0.5,140.0,17.5,118642.9452086762
sine,Sine Wave Test for Heater 1,2,0.5,140.0,18.333333333333336,118478.83061146046
sine,Sine Wave Test for Heater 1,2,0.5,140.0,19.166666666666668,118339.66925661839
