beta_1,beta_2,beta_3,beta_4,A,D,E,ME,obj,delay,period,run
0.019644439,0.05537111,0.039457799,0.012830016,6.714326533,13.2540033,-0.938122323,7.643630066,90.69372667,9,0.5,2
0.019562653,0.049239128,0.038226674,0.012913152,6.730473631,13.30044389,-0.928854477,7.651065103,91.40431024,9,0.5,3
0.010123749,0.03014609,0.085268688,0.006871977,6.752833801,14.69925608,-0.357892983,7.103759036,307.8191795,9,2,1
0.011466859,0.044159783,0.079102467,0.007559297,6.725177401,14.70114809,-0.243936595,6.961008092,143.1390155,9,2,2
0.010878398,0.036119534,0.081391584,0.007221616,6.735320703,14.71073807,-0.285499226,7.013366229,207.0668127,9,2,3
0.009210894,0.040351785,0.099321283,0.007034893,6.872312252,15.48161685,-0.01415158,6.873019617,113.9778186,9,5,1
0.009609625,0.048003821,0.106668779,0.007084864,6.845463099,15.35454097,0.004029387,6.827476658,72.59130836,9,5,2
0.009520038,0.039206755,0.100035362,0.006829317,6.827979977,15.31968256,-0.067124553,6.881550308,98.45119849,9,5,3
0.013129381,0.054828309,0.063282389,0.010082016,6.839854017,13.66657092,-0.532295204,7.364373468,20.55198174,9,0,1
0.012767463,0.049030345,0.061937256,0.009671999,6.829978787,13.65615131,-0.536759388,7.359309226,16.41815248,9,0,2
0.015764099,0.038425668,0.044533977,0.010964802,6.782298521,13.45202474,-0.729643379,7.504909302,21.99506597,9,0,3
0.018687644,0.046161937,0.038670411,0.012316468,6.728873446,13.32932367,-0.889154252,7.609969366,123.5656964,10,0.5,1
0.019434771,0.050687618,0.037361376,0.012566166,6.704985315,13.18567779,-0.980013094,7.676317361,111.431927,10,0.5,2
0.018440932,0.044224499,0.038092847,0.012048409,6.720109891,13.29232427,-0.899590213,7.611739435,111.5848026,10,0.5,3
0.010924671,0.043934831,0.093204519,0.007422521,6.753149497,14.75231041,-0.225217234,6.970764421,363.9591836,10,2,1
0.012191346,0.058897369,0.086600175,0.007963209,6.715511461,14.63975137,-0.208504223,6.915244151,141.5122855,10,2,2
0.011792131,0.05086439,0.08835885,0.007835009,6.735812939,14.73131602,-0.197921057,6.92556538,252.0799448,10,2,3
0.009967514,0.056935546,0.108661098,0.007615332,6.873881628,15.46159032,0.077190371,6.782074146,121.9250716,10,5,1
